,0,1,2,3,4,5,7
0,5,5,5,5,5,5,10
1,5,5,5,5,5,5,10
2,5,5,5,5,5,5,10
3,5,5,5,5,5,5,10
4,5,5,5,5,5,5,10
5,5,5,5,5,5,5,10
6,5,5,5,5,5,5,10
7,5,5,5,5,5,5,10
8,5,5,5,5,5,5,10
9,5,5,5,5,5,5,10
10,5,5,5,5,5,5,10
11,5,5,5,5,5,5,10
12,5,5,5,5,5,5,9
13,5,5,5,5,5,5,9
14,5,5,5,5,5,5,8
15,5,5,5,5,5,5,10
16,5,5,5,5,5,5,9
17,5,5,5,5,5,5,9
18,5,5,5,5,5,5,9
19,5,5,5,5,5,5,10
20,5,5,5,5,5,5,10
21,5,5,5,5,5,5,9
22,5,5,5,5,5,5,10
23,5,5,5,5,5,5,10
24,5,5,5,5,5,5,10
25,5,5,5,5,5,5,8
26,5,5,5,5,5,5,10
27,5,5,5,5,5,5,10
28,5,5,5,5,5,5,10
